date,trend,ipca,selic,IBC-Br,icom,expectativa,dolar,icon,ibov,open,high,low,close,adjclose,volume,ticker
2015-10-01,Downtrend,0.82,14.25,"140,18","64,4","110,57","3,87950476190476",2621.57,45869,15.151905059814453,17.045894622802734,14.733752250671387,15.168304443359375,13.376666069030762,107391385,LREN3.SA
2015-11-01,Downtrend,1.01,14.25,"135,94","66,8","106,38","3,7758",2519.29,45120,15.168304443359375,16.6031436920166,14.28280258178711,14.348395347595215,12.653603553771973,89516949,LREN3.SA
2015-12-01,Downtrend,0.96,14.25,"136,22","64,7","106,65","3,87049545454545",2494.91,43350,14.35659408569336,15.430673599243164,13.815455436706543,14.020432472229004,12.36437702178955,103360568,LREN3.SA
2016-01-01,Uptrend,1.27,14.25,"128,25","68,3","110,34","4,051715",2376.64,40406,14.020432472229004,14.692756652832031,13.077536582946777,14.545172691345215,12.860505104064941,85597607,LREN3.SA
2016-02-01,Uptrend,0.9,14.25,"130,81","68,3","114,36","3,97311578947368",2489.89,42794,14.348395347595215,15.365081787109375,12.9955472946167,14.758349418640137,13.048991203308105,79795617,LREN3.SA
2016-03-01,Uptrend,0.43,14.25,"140,27","67,8","113,19","3,70330909090909",2668.88,50055,15.053516387939453,18.67751121520996,14.791146278381348,17.045894622802734,15.071584701538086,123231813,LREN3.SA
2016-04-01,Uptrend,0.61,14.25,"136,01","68,4","111,54","3,56524",2686.94,53911,16.77532386779785,18.48073387145996,15.414276123046875,17.029495239257812,15.099349975585938,57198092,LREN3.SA
2016-05-01,Uptrend,0.78,14.25,"133,54","71,8","119,85","3,53868571428571",2620.75,48472,16.91470718383789,18.36594581604004,16.25058364868164,17.136083602905273,15.318085670471191,79636940,LREN3.SA
2016-06-01,Uptrend,0.35,14.25,"135,27","74,4","128,5","3,42387727272727",2758.47,51527,17.136083602905273,19.653202056884766,16.939306259155273,19.423627853393555,17.362943649291992,83470786,LREN3.SA
2016-07-01,Uptrend,0.52,14.25,"136,72","76,1","128,59","3,27496666666667",3036.63,57308,19.595809936523438,22.67046546936035,19.218650817871094,22.35070037841797,20.030006408691406,80921842,LREN3.SA
2016-08-01,Downtrend,0.44,14.25,"138,16","80,6","130,29","3,20905652173913",3049.37,57901,22.53927993774414,22.71146011352539,20.063156127929688,21.014249801635742,18.832317352294922,75230838,LREN3.SA
2016-09-01,Downtrend,0.08,14.25,"133,87",80,"139,13","3,25577142857143",3115.7,58367,20.85846710205078,21.719371795654297,19.702396392822266,20.063156127929688,17.97998046875,60116951,LREN3.SA
2016-10-01,Downtrend,0.26,14.153225806451612,"132,72","79,9","137,23","3,185245",3128.43,64925,20.1451473236084,22.5474796295166,19.407230377197266,22.137523651123047,19.889610290527344,90360093,LREN3.SA
2016-11-01,Downtrend,0.18,14.0,"132,37","78,2","143,76","3,34143",2871.78,61906,22.096529006958008,22.137523651123047,18.160968780517578,18.43153953552246,16.559946060180664,85030348,LREN3.SA
2016-12-01,Downtrend,0.3,13.75,"133,34","78,1","136,13","3,35166818181818",2824.88,60227,18.152769088745117,19.128461837768555,17.250871658325195,18.997276306152344,17.06822967529297,80475693,LREN3.SA
2017-01-01,Uptrend,0.38,13.266129032258064,"128,47","78,8","124,95","3,19598636363636",2917.73,64671,18.77589988708496,20.51410675048828,18.46433448791504,19.579410552978516,17.642963409423828,60558467,LREN3.SA
2017-02-01,Uptrend,0.33,12.839285714285714,"129,39","81,8","139,96","3,10358888888889",2944.12,66662,19.849979400634766,22.219514846801758,19.308841705322266,20.94865608215332,18.876789093017578,61576751,LREN3.SA
2017-03-01,Uptrend,0.25,12.25,"141,9","83,7","137,77","3,12733043478261",2951.58,64984,21.194629669189453,23.072219848632812,20.56329917907715,22.7934513092041,20.539127349853516,70949017,LREN3.SA
2017-04-01,Uptrend,0.14,11.65,"133,75","85,7","134,14","3,13557222222222",3145.8,65403,22.7934513092041,24.53985595703125,22.53927993774414,24.252887725830078,21.910444259643555,60109882,LREN3.SA
2017-05-01,Uptrend,0.31,11.25,"135,99","87,6","128,18","3,20870454545454",3123.65,62711,24.252887725830078,26.831499099731445,21.645578384399414,23.783079147338867,21.567588806152344,91101205,LREN3.SA
2017-06-01,Uptrend,-0.23,10.25,"134,88","86,7","119,56","3,29476666666667",3030.12,62900,23.94542121887207,25.117891311645508,23.557605743408203,24.693998336791992,22.393648147583008,58196518,LREN3.SA
2017-07-01,Uptrend,0.24,10.088709677419354,"138,42","85,6","125,62","3,20553809523809",3203.31,65920,24.802227020263672,27.318525314331055,24.288143157958984,26.42564582824707,24.017166137695312,50053924,LREN3.SA
2017-08-01,Uptrend,0.19,9.25,"140,14","85,6","122,93","3,15031304347826",3492.61,70835,26.51583480834961,28.418842315673828,25.893524169921875,27.598114013671875,25.082767486572266,66723636,LREN3.SA
2017-09-01,Uptrend,0.16,8.483333333333333,"134,85","90,6","119,38","3,13419",3744.59,74294,28.01298713684082,32.811092376708984,27.598114013671875,32.522483825683594,29.558324813842773,82766448,LREN3.SA
2017-10-01,Uptrend,0.42,8.10483870967742,"136,06","92,8","122,69","3,19063809523809",3648.59,74308,32.54051971435547,34.56077575683594,30.68260955810547,31.097482681274414,28.31557273864746,67720532,LREN3.SA
2017-11-01,Downtrend,0.28,7.5,"135,07","92,1","125,01","3,258735",3520.24,71971,31.34099578857422,32.6216926574707,29.23957061767578,30.601438522338867,27.8638973236084,85022465,LREN3.SA
2017-12-01,Downtrend,0.44,7.096774193548387,"135,77","93,6","127,2","3,29131",3759.89,76402,30.56536293029785,32.17976379394531,29.176437377929688,32.008399963378906,29.144994735717773,56107149,LREN3.SA
2018-01-01,Downtrend,0.29,7.0,"132,11","93,5","134,94","3,20998636363636",3811.04,84913,32.008399963378906,34.62390899658203,31.23276710510254,34.14590072631836,31.154882431030273,54283331,LREN3.SA
2018-02-01,Downtrend,0.32,6.8125,"129,94",94,"134,89","3,24090555555556",3674.68,85481,34.50666046142578,35.11093521118164,29.61836814880371,31.13355827331543,28.406404495239258,69775528,LREN3.SA
2018-03-01,Downtrend,0.09,6.669354838709677,"141,56","95,3","131,35","3,27861428571429",3651.14,85366,31.40412712097168,32.72090148925781,29.780710220336914,30.980236053466797,28.26650619506836,69348429,LREN3.SA
2018-04-01,Downtrend,0.22,6.5,"139,08","94,9","126,44","3,4069",3611.64,86115,31.115520477294922,31.40412712097168,28.88783073425293,29.410930633544922,26.8869686126709,84760130,LREN3.SA
2018-05-01,Downtrend,0.4,6.5,"132,29","93,4","133,29","3,6354619047619",3222.06,76754,29.410930633544922,30.93514060974121,25.776277542114258,26.759347915649414,24.55326271057129,112415772,LREN3.SA
2018-06-01,Uptrend,1.26,6.5,"136,95","91,6","121,36","3,77257142857143",3075.33,72763,27.056974411010742,27.958873748779297,23.04352378845215,26.48877716064453,24.30499839782715,92085339,LREN3.SA
2018-07-01,Uptrend,0.33,6.5,"141,06","91,2","121,5","3,82813636363636",3277.41,79220,26.064884185791016,29.25760841369629,25.433555603027344,27.850645065307617,25.614686965942383,73275365,LREN3.SA
2018-08-01,Uptrend,-0.09,6.5,"143,42","91,4","118,61","3,92915652173913",3114.02,76678,27.84162712097168,28.554126739501953,25.27121353149414,25.505708694458008,23.458003997802734,65479150,LREN3.SA
2018-09-01,Uptrend,0.48,6.5,"135,77","91,1","124,4","4,11594736842105",3129.76,79342,25.307289123535156,28.481975555419922,24.53165626525879,27.958873748779297,25.71422004699707,77276811,LREN3.SA
2018-10-01,Uptrend,0.45,6.5,"139,84","93,5","127,36","3,75780454545455",3271.7,87424,27.958873748779297,35.056819915771484,27.444791793823242,33.911407470703125,31.262157440185547,125167751,LREN3.SA
2018-11-01,Uptrend,-0.21,6.5,"137,66","98,4","134,83","3,786015",3405.04,89504,34.082767486572266,35.886566162109375,31.954286575317383,35.26425552368164,32.50931167602539,74430040,LREN3.SA
2018-12-01,Uptrend,0.15,6.5,"136,33","102,6","149,07","3,884405",3399.97,87887,35.273277282714844,38.321693420410156,34.200016021728516,38.24052429199219,35.2530632019043,64812893,LREN3.SA
2019-01-01,Uptrend,0.32,6.5,"133,58","102,3","150,22","3,74105454545455",3818.38,97394,38.24052429199219,41.70381546020508,36.13008117675781,41.03641128540039,37.9069938659668,96751270,LREN3.SA
2019-02-01,Uptrend,0.43,6.5,"133,92","99,8","157,48","3,723025",3654.11,95584,40.828975677490234,41.848121643066406,38.249542236328125,39.03419494628906,36.05746078491211,82982881,LREN3.SA
2019-03-01,Uptrend,0.75,6.5,"139,04",98,"144,25","3,84588421052632",3625.62,95415,39.30476379394531,41.316001892089844,36.6351432800293,39.50318145751953,36.49069595336914,85286133,LREN3.SA
2019-04-01,Uptrend,0.57,6.5,"139,69","96,3","136,66","3,89555714285714",3928.49,96353,39.872962951660156,42.659828186035156,36.35555648803711,42.28103256225586,39.13349151611328,95597150,LREN3.SA
2019-05-01,Uptrend,0.13,6.5,"139,4","93,4","130,83","4,00091818181818",3967.14,97030,42.28103256225586,44.098358154296875,38.69147491455078,43.69160461425781,40.93961715698242,87098114,LREN3.SA
2019-06-01,Uptrend,0.01,6.5,"135,12","94,7","122,89","3,85822631578947",4126.17,100967,43.651920318603516,47.55083084106445,41.747108459472656,46.786922454833984,43.8399772644043,77236302,LREN3.SA
2019-07-01,Uptrend,0.19,6.5,"143,15","95,9","126,65","3,77871304347826",4513.14,101812,47.11431121826172,49.16793441772461,45.40791702270508,47.08454513549805,44.18632507324219,90569379,LREN3.SA
2019-08-01,Uptrend,0.11,6.0,"141,94","97,6","129,85","4,01938181818182",4715.25,101135,47.42185974121094,50.745357513427734,46.17182540893555,50.15010452270508,47.06318664550781,98049552,LREN3.SA
2019-09-01,Uptrend,-0.04,5.8,"138,33","96,7","125,36","4,1209",4839.88,104745,50.546939849853516,51.41997528076172,47.74924850463867,50.070735931396484,46.98870849609375,70827197,LREN3.SA
2019-10-01,Uptrend,0.1,5.483870967741935,"142,94","97,4","122,87","4,08638695652174",4744.5,107220,50.11042022705078,52.30293655395508,47.26312255859375,50.34851837158203,47.317684173583984,90450838,LREN3.SA
2019-11-01,Uptrend,0.51,5.0,"138,87","96,6","131,66","4,154725",4886.19,108233,50.59654235839844,51.90610122680664,47.87821960449219,51.39021301269531,48.296669006347656,75380318,LREN3.SA
2019-12-01,Uptrend,1.15,4.67741935483871,"137,42","96,8","128,36","4,10892380952381",5278.33,115645,51.975547790527344,56.648284912109375,51.191795349121094,55.7454833984375,52.3897705078125,71045523,LREN3.SA
2020-01-01,Uptrend,0.21,4.5,"133,94","98,1","131,6","4,14886363636364",5471.42,113761,55.7454833984375,60.4182243347168,55.725643157958984,56.99551773071289,53.63170623779297,87282272,LREN3.SA
2020-02-01,Downtrend,0.25,4.293103448275862,"134,38","99,8","139,03","4,34041111111111",4924.48,104172,56.99551773071289,58.23563003540039,48.65204620361328,52.87834930419922,49.757537841796875,110314683,LREN3.SA
2020-03-01,Downtrend,0.07,4.040322580645161,"136,04","88,1","135,08","4,88321818181818",3372.66,73020,52.58072280883789,54.52521514892578,26.111783981323242,33.29450988769531,31.329505920410156,263851698,LREN3.SA
2020-04-01,Uptrend,-0.31,3.75,"118,35","61,2","122,82","5,324985",3968.63,80506,31.746849060058594,42.56061935424805,28.97892189025879,38.086299896240234,35.903804779052734,237793353,LREN3.SA
2020-05-01,Uptrend,-0.38,3.1451612903225805,"119,45","67,4","118,82","5,64285",4272.4,87403,38.086299896240234,41.1915397644043,30.586105346679688,38.245033264160156,36.457000732421875,249238495,LREN3.SA
2020-06-01,Uptrend,0.26,2.67,"125,83","84,4","121,9","5,19599523809524",4703.23,95056,37.99700927734375,47.65995788574219,37.62993621826172,41.469322204589844,39.53054428100586,182807967,LREN3.SA
2020-07-01,Downtrend,0.36,2.25,"135,84","86,1","127,97","5,27959565217391",5061.51,102912,41.479244232177734,44.59440231323242,38.919654846191406,40.804622650146484,38.956634521484375,145747686,LREN3.SA
2020-08-01,Downtrend,0.24,2.0403225806451615,"135,65","96,6","130,3","5,46063333333333",4986.61,99369,40.79470443725586,43.93962478637695,38.245033264160156,43.12611389160156,41.17299270629883,204232657,LREN3.SA
2020-09-01,Downtrend,0.64,2.0,"137,12","99,6","135,8","5,39888095238095",4789.32,94603,44.04875564575195,46.81668472290039,37.7192268371582,39.33633041381836,37.554840087890625,189581353,LREN3.SA
2020-10-01,Downtrend,0.86,2.0,"139,83","95,8","134,88","5,62519047619048",4652.51,93952,39.41569900512695,42.768959045410156,36.955318450927734,37.15373611450195,35.53525924682617,145920656,LREN3.SA
2020-11-01,Downtrend,0.89,2.0,"138,16","93,5","140,56","5,417235",5068.06,108888,37.15373611450195,49.505245208740234,37.15373611450195,44.326541900634766,42.395606994628906,185968372,LREN3.SA
2020-12-01,Downtrend,1.35,2.0,"139,28","91,7","142,08","5,14494545454545",5321.24,119306,44.872188568115234,46.54882049560547,42.18362808227539,43.195556640625,41.31388854980469,124090458,LREN3.SA
2021-01-01,Downtrend,0.25,2.0,"131,59","90,8","144,08","5,3556",5252.96,116007,39.2686882019043,40.08039855957031,35.0928955078125,37.401756286621094,35.82743835449219,163387769,LREN3.SA
2021-02-01,Downtrend,0.86,2.0,"134,02",91,"145,06","5,41589444444444",4975.12,110035,37.81663131713867,38.168373107910156,32.74795913696289,33.063621520996094,31.671907424926758,161288312,LREN3.SA
2021-03-01,Uptrend,0.93,2.338709677419355,"143,88","72,5","141,58","5,64554782608696",5090.55,116634,33.41536331176758,39.77375411987305,32.224857330322266,38.41188430786133,36.7950553894043,276708528,LREN3.SA
2021-04-01,Uptrend,0.31,2.75,"138,6","84,1","132,08","5,561535",5129.04,118894,38.637359619140625,43.245452880859375,35.890907287597656,36.727272033691406,35.244354248046875,231101857,LREN3.SA
2021-05-01,Uptrend,0.83,3.379032258064516,"137,44","93,9","134,55","5,29044761904762",5463.02,126216,36.79999923706055,43.70909118652344,36.409088134765625,42.54545211791992,40.91045379638672,233166340,LREN3.SA
2021-06-01,Downtrend,0.53,3.85,"137,78","95,9","136,8","5,03130476190476",5497.85,126802,42.909088134765625,44.68181610107422,39.227272033691406,40.20909118652344,38.663875579833984,214015890,LREN3.SA
2021-07-01,Downtrend,0.96,4.25,"142,98",101,"143,8","5,15602727272727",5210.6,121801,40.29090881347656,41.745452880859375,37.272727966308594,37.54545211791992,36.18147277832031,183057270,LREN3.SA
2021-08-01,Downtrend,0.87,5.120967741935484,"142,05","100,9","143,86","5,25112272727273",5007.44,118781,38.172725677490234,38.92727279663086,33.890907287597656,34.599998474121094,33.34302520751953,198600380,LREN3.SA
2021-09-01,Downtrend,1.16,5.516666666666667,"138,96","94,1","148,22","5,27909047619048",4709.56,110979,34.3636360168457,34.745452880859375,30.709089279174805,31.290908813476562,30.15414810180664,189096600,LREN3.SA
2021-10-01,Downtrend,1.25,6.443548387096774,"138,46","94,2","142,89","5,539375",4251.43,103501,31.3454532623291,33.29999923706055,27.636362075805664,29.299999237060547,28.334636688232422,259968500,LREN3.SA
2021-11-01,Downtrend,0.95,7.75,"140,22",88,"142,22","5,55626",3932.7,101915,29.318180084228516,34.7599983215332,27.799999237060547,28.450000762939453,27.51264762878418,224430940,LREN3.SA
2021-12-01,Downtrend,0.73,8.862903225806452,"141,96","85,3","143,51","5,65060434782609",3932.12,104822,28.899999618530273,30.3799991607666,23.850000381469727,24.549999237060547,23.741138458251953,225449800,LREN3.SA
